대분류,중분류,최종점수,등급,사업용 자동차,등급,자전거 및 이륜차,등급,보행자,등급,교통약자,등급,운전자,등급,도로환경,등급
경북,의성군,80.77,D,83.23,B,82.18,D,78.82,D,80.25,C,79.15,D,80.98,D
경북,청도군,81.17,C,81.53,D,82.47,D,79.28,D,80.13,D,82.59,C,81.05,D
경북,청송군,81.76,C,83.24,B,81.34,D,81.7,C,82.61,C,82.47,C,79.19,D
경북,칠곡군,76.78,E,81.09,D,81.41,D,68.98,E,75.2,D,77.32,D,76.7,D
경북,포항시,70.41,D,79.66,B,62.43,E,74.74,C,66.8,E,68.92,D,69.93,C
광주,광산구,76.82,D,78.18,C,79.08,C,80.7,B,74.48,D,74.87,E,73.62,D
광주,남구,81.45,B,81.65,B,82.82,A,79.36,B,81.24,C,83.62,A,80.01,C
광주,동구,80.84,B,78.48,C,83.67,A,76.44,D,81.06,C,82.62,B,82.77,B
광주,북구,77.72,D,78.83,C,75.95,D,79.43,B,76.49,D,79.49,C,76.15,D
광주,서구,79.85,C,77.68,C,81.49,B,81.69,A,81.03,C,78.97,D,78.24,D
대구,남구,79.84,C,82.45,A,79.78,C,71.78,D,80.78,C,81.19,C,83.07,B
대구,달서구,71.28,E,75.75,D,68.35,E,67.19,E,70.58,E,74.81,E,70.98,E
대구,달성군,83.08,B,82.28,C,82.96,C,82.75,C,82.72,C,83.42,B,84.33,B
대구,동구,75.14,D,78.34,C,65.64,E,79.14,C,73.47,D,79.2,D,75.03,D
대구,북구,72.28,E,77.12,D,65.27,E,71.46,D,71.67,E,77.14,D,71.03,E
대구,서구,77.83,D,81.5,B,76.33,D,73.42,D,78.73,D,77.13,D,79.87,C
대구,수성구,74.74,D,76.09,D,71.56,D,73.96,D,72.86,E,80.48,C,73.51,D
대구,중구,71.59,E,78.13,C,55.71,E,60.4,E,78.44,D,78.9,D,77.95,D
대전,대덕구,81.79,B,80.4,B,82.14,B,81.06,B,82.56,B,81.21,C,83.34,B
대전,동구,78.67,C,76.58,D,79.66,C,76.91,C,77.06,D,81.55,B,80.24,C
대전,서구,77.74,D,76.89,D,80.22,C,76.03,D,79.15,D,77.89,D,76.24,D
대전,유성구,79.16,C,79.85,B,79.01,C,81.35,A,78.89,D,77.2,D,78.67,D
대전,중구,78.69,C,79.84,B,80.82,B,81.23,B,76.89,D,75.64,E,77.69,D
부산,강서구,78.34,C,72.87,D,82.26,B,84.06,A,81.97,C,74.08,E,74.79,D
부산,금정구,80.13,C,75.35,D,81.27,B,79.65,B,80.6,C,81.94,B,81.98,C
부산,기장군,83.52,B,82.96,C,81.13,D,83.77,B,84.97,B,82.78,B,85.53,B
부산,남구,82.34,A,79.76,B,83.22,A,79.72,B,83.4,B,83.65,A,84.28,B
부산,동구,79.11,C,68.8,E,82.3,B,77.46,C,79.56,D,84.12,A,82.4,C
부산,동래구,80.74,B,81.14,B,80.55,C,79.89,B,80.82,C,79.57,C,82.47,B
부산,부산진구,73.53,D,67.54,E,73.38,D,73.18,D,76.01,D,74.72,E,76.32,D
부산,북구,82.83,A,81.14,B,82.82,A,82.93,A,85.02,A,81.2,C,83.86,B
부산,사상구,79,C,76.9,D,79.44,C,77.35,C,79.94,D,80.51,C,79.84,C
부산,사하구,76.53,D,75.4,D,67.17,E,79.43,B,81.3,C,79.88,C,76,D
부산,서구,81.44,B,81.17,B,81.09,B,78.81,C,80.81,C,81.96,B,84.81,A
부산,수영구,79.54,C,81.63,B,81.22,B,77.09,C,71.5,E,81.56,B,84.27,B
부산,연제구,81.59,B,81.16,B,80.31,C,80.67,B,81.92,C,81.95,B,83.51,B
부산,영도구,82.52,A,79.7,B,83.33,A,80.35,B,83.24,B,83.5,A,84.98,A
부산,중구,79.92,C,82.59,A,82.25,B,65.65,E,82.77,B,82.82,B,83.42,B
부산,해운대구,81.49,B,81.15,B,82.34,B,79.82,B,83.38,B,79.89,C,82.36,C
서울,강남구,71.06,E,66.3,E,71.37,D,70.84,E,78.84,D,73.81,E,65.21,E
서울,강동구,80.62,B,79.03,C,80.59,B,78.2,C,82.51,B,81.16,C,82.21,C
서울,강북구,80.27,C,79.05,C,77.12,D,78.85,C,82.71,B,81.66,B,82.23,C
서울,강서구,77.4,D,76.23,D,74.22,D,76.65,D,79.29,D,78.72,D,79.28,C
서울,관악구,79.22,C,71.61,D,76.97,D,79.38,B,83.61,B,81.21,C,82.52,B
서울,광진구,82.44,A,78.96,C,80.79,B,82.04,A,84.33,A,83.15,A,85.38,A
서울,구로구,77.48,D,73.88,D,75.11,D,74.41,D,81.63,C,78.07,D,81.78,C
서울,금천구,76.2,D,78.89,C,77.65,D,75.21,D,79.98,C,76.15,D,69.31,E
서울,노원구,79.46,C,79.24,C,75.4,D,78.13,C,81.87,C,81.07,C,81.04,C
서울,도봉구,82.22,A,82.1,A,78.35,C,80.85,B,83.77,B,82.87,B,85.38,A
서울,동대문구,71.64,E,71.47,D,63.28,E,68.8,E,73.16,E,81.69,B,71.44,E
서울,동작구,78.91,C,75.31,D,78.97,C,76.75,D,80.22,C,81.89,B,80.31,C
서울,마포구,78.43,C,72.63,D,79.49,C,79.43,B,83.44,B,77.45,D,78.12,D
서울,서대문구,80.35,B,78.25,C,79.96,C,77.47,C,83.08,B,82.43,B,80.89,C
서울,서초구,77.61,D,70.32,E,80.27,C,76.13,D,81.54,C,79.42,C,77.98,D
서울,성동구,80.74,B,79.88,B,79.09,C,80.45,B,83.55,B,78.88,D,82.58,B
서울,성북구,79.02,C,78.02,C,76.34,D,78.03,C,80.01,C,81.53,B,80.19,C
서울,송파구,69.29,E,68.59,E,51.5,E,69.28,E,78,D,76.91,D,71.44,E
서울,양천구,77.76,D,74.63,D,75.04,D,77.5,C,76.98,D,81.88,B,80.55,C
서울,영등포구,70.74,E,66.87,E,68.53,D,72.55,D,72.15,E,71.1,E,73.22,E
서울,용산구,81.45,B,78.49,C,79.68,C,81.76,A,84.42,A,81.5,C,82.85,B
서울,은평구,80.11,C,80.81,B,75.16,D,77.68,C,81.59,C,82.91,A,82.5,B
서울,종로구,80.25,C,77.13,C,81.5,B,78.18,C,83.36,B,79.75,C,81.56,C
서울,중구,78.12,D,70.36,D,79.15,C,76.3,D,81.28,C,81.45,C,80.19,C
서울,중랑구,79.6,C,79.67,C,76.04,D,76.07,D,83.11,B,81.07,C,81.64,C
세종,세종시,81.25,A,78.12,B,79.07,B,82.46,A,82.5,A,81.39,A,83.95,A
울산,남구,77.84,D,78.69,C,81.82,B,70.87,E,82.21,C,76.55,D,76.92,D
울산,동구,82.14,B,82.78,A,79.45,C,78.68,C,83.95,A,82.44,B,85.54,A
울산,북구,80.9,B,81.41,B,78.52,C,82.83,A,83.81,A,76.12,D,82.71,B
울산,울주군,79.7,D,75.53,E,82.93,C,81.04,C,78.74,D,81.09,C,78.86,D
울산,중구,82.01,B,82.95,A,80.42,C,80.94,B,83.28,B,81.76,B,82.68,B
인천,강화군,83.14,B,83.16,C,84.44,B,82.29,C,81.22,C,83.48,B,84.26,C
인천,계양구,80.44,B,77.54,C,81.56,B,75.93,D,84.39,A,80.44,C,82.79,B
인천,남동구,80.49,B,81.12,B,82.28,B,78.87,C,82.49,B,76.72,D,81.44,C
인천,동구,83.02,A,82.93,A,84.37,A,78.88,C,82.93,B,83.17,A,85.86,A
인천,미추홀구,80.46,B,78.73,C,82.57,B,78.73,C,80.42,C,79.76,C,82.55,B
인천,부평구,78.05,D,79.13,C,77.89,C,74.09,D,76.64,D,81.43,C,79.09,C
인천,서구,78.13,C,79.29,C,77.74,C,77.56,C,80.59,C,77.74,D,75.88,D
인천,연수구,82.85,A,81.98,A,83.83,A,79.36,C,85.35,A,82.25,B,84.31,A
인천,중구,76.15,D,69.67,E,75.39,D,79.31,C,72.84,E,80.82,C,78.88,D
전남,강진군,79.8,D,81.32,D,83.46,C,83.22,B,72.66,E,80.92,C,77.22,D
전남,고흥군,78.4,D,83.16,C,82.46,D,82.73,C,65.72,E,82.35,C,73.96,E
전남,곡성군,81.02,D,76.89,E,83.45,C,84.44,A,84.09,B,72.89,E,84.35,B
전남,광양시,81.44,B,80.96,C,80.86,C,82.12,B,80.87,C,82.09,B,81.76,B
전남,구례군,84.13,A,83.24,B,83.22,C,84.48,A,85.29,A,82.82,B,85.72,B
전남,나주시,81.45,B,81.85,B,83.84,B,81.14,C,78.8,C,83.02,B,80.06,C
전남,담양군,83.54,B,83.19,C,83.51,C,84.19,B,82.09,C,82.8,B,85.46,B
전남,목포시,72.64,E,80.24,C,66.66,E,71.15,E,69.46,E,75.36,D,72.98,D
전남,무안군,80.13,D,81.22,D,84.25,B,82.83,C,72.62,E,80.24,D,79.65,D
전남,보성군,72.6,E,83.23,B,78.6,D,71.96,E,67.17,E,69.66,E,64.98,E
전남,순천시,77.81,D,73.35,E,82.96,B,81.67,B,78.57,C,73.48,E,76.83,D
전남,신안군,82.41,C,83.26,B,83.8,B,83.97,B,84.25,B,75.14,E,84.02,C
전남,여수시,76.49,D,74.45,D,82.89,B,69.92,E,75.37,D,80.76,C,75.53,D
전남,영광군,81.87,C,83.27,B,83.77,B,76.6,D,82.36,C,82.01,C,83.24,C
전남,영암군,74.71,E,83.07,C,72,E,75.26,E,75.76,D,68.19,E,74,E
전남,완도군,83.16,B,83.28,A,84.49,A,84.3,B,78.83,D,83.33,B,84.71,B
